ShipmentKey,Date,Distributor,Load (Ton),Vehicle Number,Truck Size (T),Source,Status
2026-08-03|Samriddhi Enterprises|4.0|0,2026-08-03,Samriddhi Enterprises,4.0,UP41T5866,4T,Own,Allotted
2026-08-03|JUBILANT FOOD WORKS LTD|8.0|0,2026-08-03,JUBILANT FOOD WORKS LTD,8.0,UP41AT2863,9T,Own,Allotted
2026-08-03|LUCKY ENTERPRISES|4.0|0,2026-08-03,LUCKY ENTERPRISES,4.0,UP32CZ1716,4T,Own,Allotted
"2026-08-03|ARMAN AGENCY, DADRA|2.0|0",2026-08-03,"ARMAN AGENCY, DADRA",2.0,UP32HN2127,3.7T,Own,Allotted
2026-08-03|KAMAL AGENCY BARABANKI|4.0|0,2026-08-03,KAMAL AGENCY BARABANKI,4.0,UP32HN2137,3.7T,Own,Allotted
"2026-08-03|KARTIK TRADERS(HUB), HARGAON|4.0|0",2026-08-03,"KARTIK TRADERS(HUB), HARGAON",4.0,UP32CZ1857,4T,Own,Allotted
2026-08-03|Anurag Enterprises|5.0|0,2026-08-03,Anurag Enterprises,5.0,UP32CZ7215,4T,Own,Allotted
2026-08-03|Jigyasha Enterprises|7.0|0,2026-08-03,Jigyasha Enterprises,7.0,UP41T1378,7T,Own,Allotted
2026-08-03|Mushtaq Cool Corner|4.0|0,2026-08-03,Mushtaq Cool Corner,4.0,UP32CZ7219,4T,Own,Allotted
2026-08-03|Vaishnavi Enterprises|3.0|0,2026-08-03,Vaishnavi Enterprises,3.0,UP32NN0823,4.2T,Own,Allotted
"2026-08-03|WALMART INDIA PVT. LTD., SHAHEED PATH|4.0|0",2026-08-03,"WALMART INDIA PVT. LTD., SHAHEED PATH",4.0,UP32NN0825,4.2T,Own,Allotted
"2026-08-03|MANGALAM TRADERS, MADHOGANJ|5.0|0",2026-08-03,"MANGALAM TRADERS, MADHOGANJ",5.0,UP32NN0826,4.2T,Own,Allotted
"2026-08-03|SHRI BALAJI ENTERPRISES [HUB], MAWAI|7.0|0",2026-08-03,"SHRI BALAJI ENTERPRISES [HUB], MAWAI",7.0,UP33AT4876,7T,Own,Allotted
2026-08-03|Star Brother And Company|6.0|0,2026-08-03,Star Brother And Company,6.0,(market),4T,Spot Hire,Allotted
2026-08-03|Aradhy Infotech|5.0|0,2026-08-03,Aradhy Infotech,5.0,UP32NN0828,4.2T,Own,Allotted
2026-08-03|New Maha Laxmi Agency|18.0|0,2026-08-03,New Maha Laxmi Agency,18.0,(market),9T,Spot Hire,Allotted
2026-08-03|S And M Associates|15.0|0,2026-08-03,S And M Associates,15.0,UP41T5449,16T,Own,Allotted
2026-08-03|Tejas Enterprises|11.0|0,2026-08-03,Tejas Enterprises,11.0,UP41T6972,16T,Own,Allotted
2026-08-04|A6 VENTURES [RAILWAY]|6.0|0,2026-08-04,A6 VENTURES [RAILWAY],6.0,UP32CZ7931,6T,Own,Allotted
2026-08-04|Big Bullion Enterprises|11.0|0,2026-08-04,Big Bullion Enterprises,11.0,UP32LN8061,4T,Own,Allotted
"2026-08-04|KRISHNA KUNJ ENTERPRISES [RAILWAY], LKO|5.0|0",2026-08-04,"KRISHNA KUNJ ENTERPRISES [RAILWAY], LKO",5.0,UP32NN0823,4.2T,Own,Allotted
2026-08-04|S And M Associates|19.0|0,2026-08-04,S And M Associates,19.0,UP32NN0824,4.2T,Own,Allotted
2026-08-04|S. S. Enterprises|5.0|0,2026-08-04,S. S. Enterprises,5.0,UP32QN6296,4.2T,Own,Allotted
"2026-08-04|S.S. STORE, MALESEMAU|3.0|0",2026-08-04,"S.S. STORE, MALESEMAU",3.0,UP32QN6297,4.2T,Own,Allotted
"2026-08-04|SHAD AGENCY, KAMLAPUR|4.0|0",2026-08-04,"SHAD AGENCY, KAMLAPUR",4.0,UP32QN6298,4.2T,Own,Allotted
"2026-08-04|SUPERWELL COMTRADE PVT. LTD., AIRFORCE STN|27.0|0",2026-08-04,"SUPERWELL COMTRADE PVT. LTD., AIRFORCE STN",27.0,UP41T1378,7T,Own,Allotted
2026-08-05|Usg Enterprises|4.0|0,2026-08-05,Usg Enterprises,4.0,UP32LN8061,4T,Own,Allotted
2026-08-05|Sahu Electronic|5.0|0,2026-08-05,Sahu Electronic,5.0,UP32CZ7931,6T,Own,Allotted
2026-08-05|Bajpai Enterprises|4.0|0,2026-08-05,Bajpai Enterprises,4.0,UP32CZ1716,4T,Own,Allotted
"2026-08-05|MAA SHAKTI TRADERS, KAKORI|9.0|0",2026-08-05,"MAA SHAKTI TRADERS, KAKORI",9.0,UP41AT2863,9T,Own,Allotted
2026-08-05|New Maha Laxmi Agency|7.0|0,2026-08-05,New Maha Laxmi Agency,7.0,UP30T2343,7T,Own,Allotted
"2026-08-05|SUPERWELL COMTRADE PVT. LTD., AIRFORCE STN|17.0|0",2026-08-05,"SUPERWELL COMTRADE PVT. LTD., AIRFORCE STN",17.0,UP41T6972,16T,Own,Allotted
2026-08-05|Vinay Agencies|15.0|0,2026-08-05,Vinay Agencies,15.0,UP33AT4876,7T,Own,Allotted
