Vehicle Number,Ownership,Truck Size (T),Gate Out Date,Actual Return Date,Route / Distributor,Load (Ton)
UP30T2343,Own,7T,2026-08-02,,JUMBOTAIL WHOLESALE PVT. LTD,7.0
UP32AN6957,Own,6.5T,2026-08-03,,Shri Mm Enterprises,6.5
UP32CZ1713,Own,4T,2026-08-03,,Star Brother And Company,4.0
UP32CZ1716,Own,4T,2026-08-02,2026-08-03,Tejas Enterprises,4.0
UP32CZ7219,Own,4T,2026-08-02,2026-08-03,Khushi Enterprises,4.0
UP32CZ7228,Own,3.3T,2026-08-02,,"SUPERWELL COMTRADE PVT. LTD.,  KANPUR ROAD",3.3
UP32CZ7229,Own,4T,2026-08-03,,"MAHAVEER TRADERS [HUB], BISWAN",4.0
UP32CZ7931,Own,6T,2026-08-02,,Gaurav Traders,6.0
UP32CZ7932,Own,6T,2026-08-03,,"SAM ENTERPRISES, AMRAI GAUN",6.0
UP32LN8061,Own,5T,2026-08-02,,JAISWAL ENTERPRISES BANTHRA,4.0
UP32NN0824,Own,4.2T,2026-08-03,,Ansh Trading,4.2
UP32NN0826,Own,4.2T,2026-08-02,2026-08-03,"S.S. ENTERPRISES, LUCKNOW",4.2
UP32NN0827,Own,4.2T,2026-08-02,,Kishor Communication,4.2
UP32QN6296,Own,4.2T,2026-08-03,,Star Brother And Company,4.2
UP32QN6297,Own,4.2T,2026-08-02,,Shubham Traders,4.2
UP32QN6298,Own,4.2T,2026-08-03,,BAJPAI ENTERPRISES(HUB) REUSA,4.2
UP32QN6542,Own,4.2T,2026-08-02,,"NEW SALONI SALES & DISTRIBUTORS, T.GOMTI",4.2
UP32QN8082,Own,4.2T,2026-08-02,2026-08-03,"G.K. ENTERPRISES, TELIBAGH",4.2
UP32SN4978,Own,4.2T,2026-08-02,,"G.K. ENTERPRISES, TELIBAGH",4.2
UP32SN4979,Own,4.2T,2026-08-03,,"MVV, LUCKNOW",4.2
UP32SN4980,Own,4.2T,2026-08-02,,"NEW SALONI SALES & DISTRIBUTORS, T.GOMTI",4.2
UP32SN4982,Own,4.2T,2026-08-02,,Star Brother And Company,4.2
UP41T3829,Own,15T,2026-08-03,,"S.M.S. ENTERPRISES [HUB], BHEL",15.0
UP41T5380,Own,4T,2026-08-03,,"MVV, LUCKNOW",4.0
UP41T5506,Own,16T,2026-08-02,,Jaiswal Agency,16.0
UP41T8559,Own,15T,2026-08-03,,"FAUJI COLD DRINKS [HUB], B.K.T",15.0
UP77A9663,Own,9T,2026-08-03,,Gupta Traders,9.0
