Vehicle Number,Remarks
UP32NN0826,Operational
UP32NN0828,Operational
UP32QN8082,Operational
UP32SN4981,Operational
UP33AT4876,Operational
UP32AN9884,Operational
UP41T7677,Driver Not Available
UP32CZ7229,Maintenance
UP32NN0824,Operational
UP32QN6296,Operational
UP32QN6298,Operational
UP32QN6542,Operational
UP32SN4979,Operational
UP32SN4982,Operational
UP41T5449,Operational
UP32DN7663,Operational
UP32CZ7228,Operational
UP32HN2127,Operational
UP32HN2137,Driver Not Available
UP30T1763,Maintenance
UP32CZ1716,Operational
UP32CZ1857,Operational
UP32CZ7215,Operational
UP32CZ7219,Operational
UP32LN8061,Operational
UP41T5866,Operational
UP32NN0823,Operational
UP32NN0825,Driver Not Available
UP32QN6297,Operational
UP32QN6299,Operational
UP32SN4977,Operational
UP32SN4978,Operational
UP32SN4980,Operational
UP32SN4983,Operational
UP33AT1313,Maintenance
UP32AN3938,Driver Not Available
UP32CZ7931,Operational
UP41T6902,Driver Not Available
UP41T9169,Driver Not Available
UP32AN6958,Driver Not Available
UP30T2343,Operational
UP41T1378,Operational
UP41T5263,Driver Not Available
UP41AT0521,Driver Not Available
UP41AT2863,Operational
UP41AT4026,Driver Not Available
UP32AN9883,Maintenance
UP41T3829,Operational
UP41T8559,Operational
UP32BN4925,Driver Not Available
UP41T4849,Driver Not Available
UP41T5506,Non-Operational
UP41T6972,Operational
